#;Username;Date;Action
1;root;2023-11-29 22:27:09;create_user:UserCreatedInOS
2;root;2023-11-29 22:27:14;create_user:UserCreated
3;root;2023-11-29 22:27:20;create_department:AttemptToCreateDepartment 'dep4'
4;root;2023-11-29 22:27:20;create_department:DepartmentAlreadyExists 'dep4'
5;root;2023-11-29 22:27:26;disable_department:AttemptToDisableDepartment 'dep4'
6;root;2023-11-29 22:27:26;disable_department:UsersInDepartment 'dep4': 'pru3'
7;root;2023-11-29 22:27:29;disable_department:AttemptToAdjustUserMembershipInDepartment 'dep4'
8;root;2023-11-29 22:27:29;disable_department:AttemptToDeleteDepartment 'dep4'
9;root;2023-11-29 22:27:30;disable_department:DepartmentSuccessfullyDisabled 'dep4'
10;root;2023-11-29 22:27:34;create_department:AttemptToCreateDepartment 'dep4'
11;root;2023-11-29 22:27:35;create_department:AttemptToCreateNewDepartment 'dep4'
12;root;2023-11-29 22:27:35;create_department:DepartmentCreatedSuccessfully 'dep4'
13;root;2023-11-29 22:28:00;assign_user_to_department:AttemptToAssignUser 'pru4' to Department
14;root;2023-11-29 22:28:04;assign_user_to_department:AttemptToAssignDepartmentToUserInDB 'pru4' to 'dep4'
15;root;2023-11-29 22:28:04;assign_user_to_department:UserSuccessfullyAssigned 'pru4' to 'dep4'
16;root;2023-11-29 22:32:57;disable_department:AttemptToDisableDepartment 'pru4'
17;root;2023-11-29 22:32:57;disable_department:UsersInDepartment 'pru4': ''
18;root;2023-11-29 22:32:59;disable_department:AttemptToAdjustUserMembershipInDepartment 'pru4'
19;root;2023-11-29 22:32:59;disable_department:AttemptToDeleteDepartment 'pru4'
20;root;2023-11-29 22:33:00;disable_department:DepartmentSuccessfullyDisabled 'pru4'
21;root;2023-11-29 22:36:05;disable_user:UserDisabled 'pru4'
22;root;2023-11-29 22:36:14;create_user:UserCreatedInOS
23;root;2023-11-29 22:36:22;create_user:UserCreated
24;root;2023-11-29 22:36:53;create_department:AttemptToCreateDepartment 'dep4'
25;root;2023-11-29 22:36:53;create_department:DepartmentAlreadyExists 'dep4'
26;root;2023-11-29 22:37:01;disable_department:AttemptToDisableDepartment 'dep4'
27;root;2023-11-29 22:37:01;disable_department:UsersInDepartment 'dep4': ''
28;root;2023-11-29 22:37:08;disable_department:AttemptToAdjustUserMembershipInDepartment 'dep4'
29;root;2023-11-29 22:37:08;disable_department:AttemptToDeleteDepartment 'dep4'
30;root;2023-11-29 22:37:09;disable_department:DepartmentSuccessfullyDisabled 'dep4'
31;root;2023-11-29 22:37:18;create_department:AttemptToCreateDepartment 'dep4'
32;root;2023-11-29 22:37:18;create_department:AttemptToCreateNewDepartment 'dep4'
33;root;2023-11-29 22:37:18;create_department:DepartmentCreatedSuccessfully 'dep4'
34;root;2023-11-29 22:40:31;disable_department:AttemptToDisableDepartment 'dep4'
35;root;2023-11-29 22:40:31;disable_department:UsersInDepartment 'dep4': ''
36;root;2023-11-29 22:40:32;disable_department:AttemptToAdjustUserMembershipInDepartment 'dep4'
37;root;2023-11-29 22:40:33;disable_department:AttemptToDeleteDepartment 'dep4'
38;root;2023-11-29 22:40:33;disable_department:DepartmentSuccessfullyDisabled 'dep4'
39;root;2023-11-29 22:40:40;create_department:AttemptToCreateDepartment 'dep4'
40;root;2023-11-29 22:40:40;create_department:AttemptToCreateNewDepartment 'dep4'
41;root;2023-11-29 22:40:40;create_department:DepartmentCreatedSuccessfully 'dep4'
